Ingredient id,Ingredient name,Ingredient alias
HBIN000352,11alpha-Methoxysaiko...,11α-methoxysaikosapo...
HBIN000353,11α-methoxysaikosapo...,11alpha-Methoxysaiko...
HBIN000970,"1-[(2R,3R,4S,5S)-3,4...","1-[(2R,3R,4S,5S)-3,4..."
HBIN001079,136458-42-9,NA
HBIN001792,"16α,23,28,30-tetrahy...",NA
HBIN002102,"1,8 cineole","Eucalyptol, tested a..."
HBIN002161,19894-97-4,"(1R)-6,6-Dimethylbic..."
HBIN002584,1-hexanol,HE2; n-C6H13OH; 4-01...
HBIN003050,"(1R,2R,4S)-2,4-diiso...","(1R,2R,4S)-2,4-diiso..."
HBIN003117,"(1R,4aR,8aS)-1-isopr...","(1R,4aR,8aS)-7-methy..."
HBIN003137,"(1R,4S,5R)-4-isoprop...","(1R,4S,5R)-4-isoprop..."
HBIN003145,"(1R,4S)-7,7-dimethyl...","(1S,4R)-7,7-dimethyl..."
HBIN003159,"(1R,5S)-7,7-dimethyl...",BB_NC-0154; ZINC0096...
HBIN003160,"[(1R,5S)-7,7-dimethy...","[(1R,5S)-7,7-dimethy..."
HBIN003277,"(1S,4R)-2,3-dimethyl...",NA
HBIN003373,"(1Z,4E,8E)-2,6,6,9-t...",NA
HBIN003405,20-Hexadecanoylingen...,20-hexadecanoylingen...
HBIN003784,22-stigmasterol,NA
HBIN004371,"2,4-Dodecadienal","00301_FLUKA; (trans,..."
HBIN004392,"2,4-Heptdienal","FEMA No. 3164; (E,E)..."
HBIN004489,"2,4-octadienal",LMFA06000034; 38743-...
HBIN005517,2-Decenal,2-decenal; 3913-71-1...
HBIN005662,2-heptanone,FT-0612484; Methyl A...
HBIN005667,2-heptenicacid,2-heptenic acid
HBIN005669,2-HEPTENOL,00498_FLUKA; 2-Hepte...
HBIN005677,2-Hexanoylfuran,2-hexanoylfuran; 1-(...
HBIN006041,2-methylcyclopentano...,(2S)-2-methylcyclope...
HBIN006064,2-METHYLHEXADECANE,"Hexadecane, 2-methyl..."
HBIN006133,2-nonanone,DTXSID2022125; FEMA ...
HBIN006140,2-nonenoicacid,NA
HBIN006220,2-octanone,Methyl hexyl ketone;...
HBIN006227,2-Octenic acid,2-octenicacid; 2-Oct...
HBIN006381,(2R)-2-methylcyclope...,(2R)-2-methyl-1-cycl...
HBIN006438,"(2R,3R,4S,5S,6R)-2-[...","(2R,3R,4S,5S,6R)-2-[..."
HBIN007080,"3,3',4',5,5',6,7-hep...",NA
HBIN007148,"3,3,5-trimethylhepta...",NA
HBIN007554,"3,5,6,7-tetramethoxy...","3,5,6,7-Tetramethoxy..."
HBIN007742,"3',6'-O,O-diacetylsa...",NA
HBIN007743,"3',6'-O,O-diacetylsa...",NA
HBIN008452,"(3E,6S,7R)-3-butylid...","(3E,6S,7R)-3-butylid..."
HBIN008520,"3-ETHYL-2-METHYL-1,3...",(3E)-3-ethyl-2-methy...
HBIN008553,3-Furaldehyde,3-Furancarboxaldehyd...
HBIN008930,3-methylcyclotrideca...,"Cyclotridecanone,3-m..."
HBIN008932,3-methyldodecane,NA
HBIN009039,3'-O-acetylsaikosapo...,NA
HBIN009041,3'-O-Acetylsaikosapo...,NA
HBIN009042,3'-O-Acetylsaikosapo...,NA
HBIN009499,"[(3R)-3,7-dimethyloc...",BSPBio_003127; KBioG...
HBIN009508,(3R)-3-methylcyclotr...,(3R)-3-methyl-1-cycl...
HBIN009514,"(3R,4aR,8aR)-3-isopr...","(3R,4aR,8aR)-5,8a-di..."
HBIN009632,"(3S,4aS,6aR,6bS,8S,8...","(3S,4aS,6aR,6bS,8S,8..."
HBIN010147,"4,8-dimethyltridecan...","4,8-dimethyl trideca..."
HBIN010252,"(4aS,9aS)-2,9,9-trim...","(4aS,9aS)-2,9,9-trim..."
HBIN010644,4-Methoxysalicyaldeh...,4-08-00-01754 (Beils...
HBIN010878,(4S)-1-methyl-4-(6-m...,(4S)-1-methyl-4-(5-m...
HBIN010894,(4S)-4-isopropylcycl...,(4S)-4-propan-2-ylcy...
HBIN011333,58870_FLUKA,(&#8722;)-Isoledene
HBIN011342,"5,8-Dihydroxy-6,7-di...","LMPK12111431; 5,8-di..."
HBIN011798,5-methyl-5-ethyldeca...,NA
HBIN011804,5-methyldecane,NA
HBIN011806,5-METHYLFURFURAL,5-Methyl-2-furfural;...
HBIN011902,(5R)-5-isopropyl-2-m...,(5R)-2-methyl-5-prop...
HBIN011926,(5S)-5-butyloxolan-2...,(5S)-5-butyltetrahyd...
HBIN011929,(5S)-5-hexyloxolan-2...,(5S)-5-hexyl-2-tetra...
HBIN011932,(5S)-5-propyloxolan-...,(5S)-5-propyl-2-tetr...
HBIN012046,"6,7,3',8'-diligustil...",NA
HBIN012725,6-O-vanilloylajugol,6-O-Vanilloylajugol;...
HBIN012766,"(6R)-2,6-dimethyloct...",NA
HBIN012802,"(6S)-6-pentyl-5,6-di...","(6S)-6-amyl-5,6-dihy..."
HBIN012955,"7,8,4'-Trihydroxyiso...","NSC678112; 7,8-dihyd..."
HBIN013366,7-Methyltridecane,"NSC59169; Tridecane,..."
HBIN013391,7-Octen-4-ol,oct-7-en-4-ol; 53907...
HBIN013503,80-57-9,Bicyclo(3.1.1)hept-3...
