TCMBank ID,Ingredient name,Alias,Molecular formula,Molecular weight
TCMBANKIN000001,saikosaponin a,"20736-09-8; Saikosaponin A; beta-D-Galactopyranoside, (3beta,4alpha,16beta)-13,28-epoxy-16,23-dihydroxyolean-11-en-3-yl-6-deoxy-3-O-beta-D-glucopyranosyl-; saikosaponin-a; AIDS-211406; AIDS211406; C08975",C42H68O13,780.98
TCMBANKIN000028,coumarin,"KBio3_002764; HSDB 1623; NSC284685; Spectrum5_000555; AC1L7KKB; SPECTRUM1400208; WLN: T66 BOVJ; 2H-Benzo[b]pyran-2-one; cis-o-Coumarinic acid lactone; BRN 0383644; Benzo-a-pyrone; BSPBio_003263; Spectrum_001336; o-Hydroxyzimtsaure-lacton [German]; 6-(1,2-DIHYDROXY-3-METHYL-3-BUTENYL)-7-METHOXYCOUMARIN; 2H-chromen-2-one; NSC-284685; 1,2-benzopyrone; Thamnosmonin; 2H-1-Benzopyran-2-one; 2H-1-Benzopyran, 2-oxo-; 2-chromenone; Benzo-.alpha.-pyrone; NSC8774; Cumarin; 91-64-5; 6-(1,2-dihydroxy-3-methyl-but-3-enyl)-7-methoxy-chromen-2-one; C05851; o-hydroxycinnamic acid delta-lactone; 28150_FLUKA; Coumarin; COUMARIN (I); Tonka bean camphor; Spectrum2_000303; KBio2_006952; Cinnamic acid, o-hydroxy-, delta-lactone; InChI=1/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6; o-Hydroxycinnamic lactone; 6-7-methoxy-2h-1-benzopyran-2-one; NSC 8774; NSC-220196; NSC220196; SMR000059040; NCGC00091502-04; NCGC00091502-01; CHEMBL498094; 6-(1,2-dihydroxy-3-methylbut-3-enyl)-7-methoxychromen-2-one; Coumarinic lactone; Kumarin [Czech]; 6-(1,2-DIHYDROXY-3-METHYLBUT-3-EN-1-YL)-7-METHOXYCHROMEN-2-ONE; Cinnamic acid, o-hydroxy-, .delta.-lactone; Spectrum3_001772; Rattex; chromen-2-one; 2-Propenoic acid, 3-(2-hydroxyphenyl)-, .delta.-lactone; NCGC00091502-02; 2H-1-Benzopyran-2-one, 6-(1,2-dihydroxy-3-methyl-3-butenyl)-7-methoxy-; D03ZMQ; C4261_SIGMA; W526509_ALDRICH; NCI C07103; SBB000094; 5-17-10-00143 (Beilstein Handbook Reference); NCGC00091502-03; SPBio_000266; 2-Oxo-1,2-benzopyran; 2-Propenoic acid, 3-(2-hydroxyphenyl)-, delta-lactone; AIDS-009326; NCGC00091502-05; coumarin ; CHEBI:28794; EINECS 202-086-7; CCRIS 181; CTK5B0978; 5,6-Benzo-alpha-pyrone; 2-Propenoic acid, 3-(2-hydroxyphenyl)-delta-lactone; ZINC00074709; o-Hydroxycinnamic acid lactone; KBio2_004384; COU; AIDS009326; Benzo-alpha-pyrone; Coumarin, Chinese; o-Coumaric acid lactone; KBioGR_002460; Coumarinic anhydride; 2-Propenoic acid, 3-(2-hydroxyphenyl)-, d-lactone; SDCCGMLS-0066912.P001; KBioSS_001816; KBio2_001816; 3-(2-Hydroxyphenyl)-2-propenoic delta-lactone; 1-Benzopyran-2-one; Coumarine; NCI60_041938; 2H-Benzopyran-2-one; 1,2-Benzopyrone; MLS000028741; 5,6-Benzo-2-pyrone; 2H-Benzo(b)pyran-2-one; EPA Pesticide Chemical Code 127301; cis-o-Coumaric acid anhydride; Spectrum4_001818; 60094-90-8; Caswell No. 259C; AI3-00753",C9H6O2,146.14
TCMBANKIN000064,diosgenin,"AKOS025402315; MolPort-028-744-580; (25R)-5-Spirosten-3beta-ol; 3beta-Hydroxy-5-spirostene; nitogenin; NSC 226132; Spirost-5-en-3-ol, (3beta,25S)-; diosgenin ; AC-8024; 512-04-9; 22-epi-Yamogenin; C08898; D1634_SIGMA",C27H42O3,414.62
TCMBANKIN000065,dioscin,LMST01080053; C08897; 3-O-(Rhaa1-4(Rhaa1-2)Glcb)-(25R)-spirost-5-en-3beta-ol; dioscin ; 19057-60-4; Dioscin,C45H72O16,869.04
TCMBANKIN000100,lauric acid,"NCGC00090919-01; CHEBI:30805; n-Dodecanoic acid; Hydrofol acid 1255; Wecoline 1295; Neo-Fat 12-43; 8045-27-0; WLN: QV11; AI3-00112; AIDS-049202; 61609_FLUKA; Dodecylcarboxylate; DAO; EINECS 205-582-1; L-ALFA-LYSOPHOSPHATIDYLCHOLINE, LAUROYL; CCRIS 669; W261408_ALDRICH; lauric acid ; 8000-62-2; DODECANOIC ACID (LAURIC ACID); C-1297; 7632-48-6; ST023796; NSC5026; Laurinsaeure; C02679; [2-((1-OXODODECANOXY-(2-HYDROXY-3-PROPANYL))-PHOSPHONATE-OXY)-ETHYL]-TRIMETHYLAMMONIUM; Dodecoic acid; Laurostearic acid; NCGC00090919-02; 4-02-00-01082 (Beilstein Handbook Reference); lauricacid; Ninol AA62 extra; InChI=1/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14; Lauric acid (natural); Aliphat No. 4; NSC-5026; Coconut oil fatty acids; Lauric acid, pure; 203714-07-2; NCIOpen2_009480; CH3-[CH2]10-COOH; Dodecylic acid; Neo-Fat 12; AIDS049202; C12 fatty acid; HSDB 6814; Dodecanoic acid; L556_ALDRICH; Lauric acid; LAP; Univol U-314; FEMA No. 2614; 1-Undecanecarboxylic acid; Vulvic acid; 143-07-7; BRN 1099477; Duodecylic acid; LAU; W261416_ALDRICH; LMFA01010012; L4250_SIGMA; Hydrofol acid 1295",C12H24O2,200.32
TCMBANKIN000102,petunidin,Petunidin 3-O-beta-D-sambubioside; Petunidin 3-sambubioside; petunidin 3-rhamnoglucoside_qt; Petunidin 3-(2-xylosylglucoside); LMPK12010363; petunidin,C16H13O7+,317.27 g/mol
TCMBANKIN000170,uri-dineα- spinasterol- 3-O- β- D- Glucoside,,,
TCMBANKIN000281,Myricadiol,"AC1NSYWT; isomyricadiol; myricadiol; (3S,14bR)-8a-(hydroxymethyl)-4,4,6a,6a,11,11,14b-heptamethyl-1,2,3,4a,5,6,8,9,10,12,12a,13,14,14a-tetradecahydropicen-3-ol",C30H50O2,442.72
TCMBANKIN000814,(5S)-5-butyloxolan-2-one,(5S)-5-butyltetrahydrofuran-2-one; (5S)-5-butyl-2-tetrahydrofuranone; ZINC03860659,C8H14O2,142.2
TCMBANKIN001349,C09704,"ZINC01531550; 1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (3S,6E)-; EINECS 214-276-7; (3S)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol; (S-(E))-3,7,11-Trimethyldodeca-1,6,10-trien-3-ol; (3S,6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol; 1119-38-6; LMPR01030037",C15H26O,222.37
