Ingredient ID,Formulae,Name,MW,AlogP,MlogP,XlogP,# HBA,# HBD,PSA,# Rotatable Bond,# Ring,# Heacy Atom,Lipinski RO5 Violation
TCMC1159,C10H12O2,Eugenol,164.08,0.5166,2.34,2.484,0,1,29.46,5,1,12,0
TCMC1194,C4H4O4,Fumaric Acid,116.01,-0.2252,1.46,-0.416,4,2,74.6,4,0,8,0
TCMC1197,C5H4O2,Furfural,96.02,-0.3465,1.79,1.057,1,0,30.21,1,1,7,0
TCMC1209,C4H9NO2,Gamma-Aminobutyric Acid,103.06,-1.2313,1.57,-0.668,3,2,63.32,5,0,7,0
TCMC1264,C5H10N2O3,Glutamine,146.07,-1.4816,1.46,-2.943,5,4,107.4,7,0,10,0
TCMC1269,C3H8O3,Glycerin,92.05,-1.4081,1.46,-1.88,3,3,60.69,5,0,6,0
TCMC1271,C2H5NO2,Glycine,75.03,-1.1915,1.35,-3.35,3,2,63.32,3,0,5,0
TCMC1272,C5H11NO2,Glycinebetaine,117.08,-2.2564,1.68,-1.227,2,0,40.13,6,0,8,0
TCMC1293,C7H8O2,Guaiacol,124.05,-0.5121,2.01,1.389,0,1,29.46,3,1,9,0
TCMC1315,C7H14O,Heptanal,114.1,-1.2583,2.12,2.863,1,0,17.07,6,0,8,0
TCMC1323,C6H12O2,Hexanoate,116.08,-1.0177,1.9,1.88,2,1,37.3,6,0,8,0
TCMC1356,C21H20O12,Hyperoside,464.1,-4.8921,2.45,-0.354,7,8,206.6,12,4,33,1
TCMC1409,C21H20O12,Isoquercetin,464.1,-4.8921,2.45,-0.354,7,8,206.6,12,4,33,1
TCMC1410,C28H24O16,Isoquercitin 2''-O-Gallate,616.11,-5.9038,2.78,0.039,8,10,273.36,17,5,44,1
TCMC1458,C12H22O11,"Lactose, Anhydrous",342.12,-4.2603,1.57,-3.663,11,8,189.53,12,2,23,2
TCMC1459,C3H7NO2,L-Alanine,89.05,-1.0955,1.46,-2.824,3,2,63.32,4,0,6,0
TCMC1493,C10H18O,Linalool (+),154.14,2.4692,2.45,2.468,1,1,20.23,8,0,11,0
TCMC1495,C18H32O2,Linoleic Acid,280.24,-0.9485,3.22,7.865,2,1,37.3,16,0,20,2
TCMC1496,C18H30O2,Linolenic Acid,278.22,-0.0979,3.22,7.538,2,1,37.3,15,0,20,2
TCMC1528,C4H4O4,Maleic Acid,116.01,-0.2252,1.46,-0.416,4,2,74.6,4,0,8,0
TCMC1608,C10H16,Myrcene,136.13,3.0936,2.56,4.17,0,0,0,6,0,10,0
TCMC1630,C42H68O13,,780.47,-2.3562,4.65,3.954,13,8,207.99,21,8,55,2
TCMC170,C10H14O,(S)(+)Carvone,150.1,1.5954,2.45,1.756,1,0,17.07,3,1,11,0
TCMC1712,C15H24O,,220.18,1.9144,3,4.607,1,0,12.53,3,3,16,0
TCMC1737,C10H18O,Nerol,154.14,2.3397,2.45,2.524,1,1,20.23,8,0,11,0
TCMC1738,C15H26O,Nerolidol,222.2,3.7014,3,4.29,1,1,20.23,12,0,16,0
TCMC1776,C8H16O2,Octanoic Acid,144.12,-1.5937,2.12,3.018,2,1,37.3,8,0,10,0
TCMC1788,C18H34O2,Oleic Acid,282.26,-2.3427,3.22,8.192,2,1,37.3,17,0,20,2
TCMC1830,C16H32O2,Palmitic Acid,256.24,-3.8977,3,7.57,2,1,37.3,16,0,18,2
TCMC1832,C16H30O2,Palmitoleic Acid,254.22,-1.7667,3,7.054,2,1,37.3,15,0,18,2
TCMC1851,C41H32O26,Pentagalloyl Glucose,940.12,-7.5719,3.11,0.697,11,15,444.18,31,6,67,3
TCMC1863,C18H34O2,Petroselenic Acid,282.26,-2.3427,3.22,8.192,2,1,37.3,17,0,20,2
TCMC1965,C21H20O9,Puerarin,416.11,-3.823,2.78,0.4,6,6,156.91,9,4,30,1
TCMC1982,C15H10O7,Quercetin,302.04,-2.8012,2.34,1.381,2,5,127.45,6,3,22,0
TCMC2031,C27H30O16,Rutin,610.15,-6.139,2.67,-1.188,11,10,265.52,17,5,43,2
TCMC2105,C18H36O2,Stearic Acid,284.27,-4.4737,3.22,8.708,2,1,37.3,18,0,20,2
TCMC2111,C4H6O4,Succinic Acid,118.03,-0.41,1.46,-0.71,4,2,74.6,5,0,8,0
TCMC2166,C10H14O,Thymol,150.1,0.7546,2.45,3.556,0,1,20.23,5,1,11,0
TCMC2209,C9H12N2O6,Uridine,244.07,-2.5465,1.57,-1.782,8,4,122.82,6,2,17,0
TCMC2223,C8H8O3,Vanillin,152.05,-0.7045,2.01,1.04,1,1,46.53,4,1,11,0
TCMC2237,C16H12O5,Wogonin,284.07,-1.476,2.67,2.719,1,2,75.99,5,3,21,0
TCMC2313,C10H18O,Trans-2-Decenal,154.14,-0.9644,2.45,4.126,1,0,17.07,8,0,11,0
TCMC2324,C10H16,Limonene,136.13,2.1424,2.56,3.729,0,0,0,3,1,10,0
TCMC2366,C15H24O,,220.18,1.9144,3,4.607,1,0,12.53,3,3,16,0
TCMC2510,C15H26O,Nerolidiol,222.2,3.7014,3,4.29,1,1,20.23,12,0,16,0
TCMC2526,C3H7NO2,Alanine,89.05,-1.0955,1.46,-2.824,3,2,63.32,4,0,6,0
TCMC2560,C9H20O,Nonanol,144.15,-2.4134,2.34,3.696,1,1,20.23,9,0,10,0
TCMC2644,C7H12O,(E)-2-Heptenal,112.09,-0.1004,2.12,2.419,1,0,17.07,5,0,8,0
TCMC2671,C8H14O,(E)-2-Octenal,126.1,-0.3884,2.23,2.988,1,0,17.07,6,0,9,0
TCMC2822,C15H24,Alpha-Humulone,204.19,4.1708,3.11,5.94,0,0,0,4,1,15,1
TCMC284,C10H16,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,136.13,2.1424,2.56,3.729,0,0,0,3,1,10,0
TCMC289,C5H12O,1-Pentanol,88.09,-1.2614,1.9,1.42,1,1,20.23,5,0,6,0
TCMC2950,C5H10O2,"Pentanic Acid,Scopolin",101.0602545,-1.4075,1.79,0.83,2,0,40.13,3,0,7,0
TCMC2959,C9H18O2,Nonanoic Acid,157.1228548,-2.5595,2.23,3.106,2,0,40.13,7,0,11,0
TCMC3032,C24H48O2,Lignoceric Acid,367.3576057,-6.8795,3.88,11.641,2,0,40.13,22,0,26,2
TCMC304,C10H18O,2-(4-Methylcyclohex-3-En-1-Yl)Propan-2-Ol,154.14,1.1223,2.45,2.369,1,1,20.23,5,1,11,0
TCMC3056,C13H28,N-Tridecane,184.2191009,-3.0654,2.89,7.737,0,0,0,10,0,13,1
TCMC3195,C10H10O4,Vanillin Acetate,194.0579088,-0.3254,2.12,1.78,2,0,52.6,4,1,14,0
TCMC3290,C10H18O,Myrtanol,154.1357652,0.3926,2.45,3.167,1,1,20.23,1,1,11,0
TCMC3402,C42H68O13,Saikosaponin D,780.4659922,-2.3562,4.65,3.954,13,8,207.99,6,8,55,2
TCMC3631,C42H68O13,Saikosaponin A,780.4659922,-2.3562,4.65,3.954,13,8,207.99,6,8,55,2
TCMC3837,C11H20O2,Γ-Undecalactone,184.1463299,-2.0714,2.45,3.882,2,0,26.3,6,1,13,0
TCMC3883,C15H24,Α-Cubebene,204.1878008,1.6446,3.11,6.499,0,0,0,1,3,15,1
TCMC3900,C10H16O,Pulegone,152.1201151,1.583,2.45,2.126,1,0,17.07,0,1,11,0
TCMC3901,C10H18O,Α-Terpineol,154.1357652,1.1223,2.45,2.369,1,1,20.23,1,1,11,0
TCMC395,C9H16O,2-Nonenal,140.12,-0.6764,2.34,3.557,1,0,17.07,7,0,10,0
TCMC4069,C10H16O,"Bicyclo[3.1.1]Hept-2-Ene-2-Methanol, 6,6-Dimethyl,Myrtenol",152.1201151,0.4255,2.45,2.296,1,1,20.23,1,1,11,0
TCMC4124,C6H10O,2-Methylcyclopentanone,98.07316494,0.0334,2.01,0.644,1,0,17.07,0,1,7,0
TCMC4183,C15H24,Longifolene,204.1878008,1.8468,3.11,6.444,0,0,0,0,3,15,1
TCMC4324,C29H48O,Stigmasterol,412.3705162,1.2566,4.54,11.071,1,1,20.23,5,4,30,1
TCMC4325,C29H48O,Α-Spinasterol,412.3705162,1.2566,4.54,11.261,1,1,20.23,5,4,30,1
TCMC4390,C7H12O2,2-Heptenic Acid,127.0759046,-0.8256,2.01,1.857,2,0,40.13,4,0,9,0
TCMC4391,C8H14O2,2-Octenic Acid,141.0915547,-1.1136,2.12,2.426,2,0,40.13,5,0,10,0
TCMC4395,C18H34O2,Petroselaidic Acid,281.2480553,-3.0205,3.22,7.711,2,0,40.13,15,0,20,2
TCMC4426,C9H16O2,2-Nonenoic Acid,155.1072047,-1.4016,2.23,2.995,2,0,40.13,6,0,11,0
TCMC4930,C7H12O2,Γ-Heptalactone,128.0837296,-0.9194,2.01,1.606,2,0,26.3,2,1,9,0
TCMC5005,C27H30O14,Kaempferitrin,578.1635556,-4.8117,2.89,0.173,10,8,215.83,5,5,41,1
TCMC5204,C8H14O2,Γ-Octalactone,142.0993797,-1.2074,2.12,2.175,2,0,26.3,3,1,10,0
TCMC5240,C29H50O,22-Stigmasterol,414.3861662,1.3203,4.54,12.336,1,1,20.23,5,4,30,1
