Mol ID,Molecule Name,MW,AlogP,Hdon,Hacc,OB (%),Caco-2,BBB,DL,FASA-,HL
MOL001109,β-thujene,136.26,2.68,0,0,46.44,1.82,2.19,0.04,0.29,11.53
MOL001121,19894-97-4,152.26,1.78,1,1,49.98,1.25,1.50,0.06,0.21,11.55
MOL000117,Cymol,134.24,3.51,0,0,27.20,1.86,2.10,0.02,0.34,
MOL001179,(&#8722;)-Alloaromadendrene,204.39,4.22,0,0,54.04,1.81,2.07,0.10,0.23,12.06
MOL000118,(L)-alpha-Terpineol,154.28,2.42,1,1,48.80,1.39,1.72,0.03,0.27,11.35
MOL000120,dec-2-enal,154.28,3.66,0,1,18.55,1.40,1.59,0.02,0.27,
MOL000122,"1,8-cineole",154.28,2.15,0,1,39.73,1.57,2.06,0.05,0.24,11.29
MOL000123,geraniol,154.28,2.93,1,1,23.93,1.19,1.14,0.02,0.27,
MOL000126,(-)-nopinene,136.26,2.93,0,0,44.84,1.80,2.12,0.05,0.27,11.32
MOL000127,Neral,152.26,3.19,0,1,19.48,1.36,1.51,0.02,0.34,
MOL001273,80-57-9,150.24,1.94,0,1,50.63,1.27,1.59,0.06,0.34,11.56
MOL000128,NERYLACETATE,196.32,3.31,0,2,25.94,1.28,1.28,0.04,0.27,
MOL001283,C09704,222.41,4.56,1,1,29.56,1.37,1.34,0.06,0.31,
MOL001303,"(1R,2R,4S)-2,4-diisopropenyl-1-methyl-1-vinylcyclohexane",204.39,4.79,0,0,5.58,1.85,2.11,0.06,0.34,
MOL000131,EIC,280.50,6.39,1,2,41.90,1.16,0.90,0.14,0.25,7.50
MOL001386,Methyl laurate,214.39,4.79,0,2,21.75,1.32,1.24,0.05,0.15,
MOL001392,Methyl myristate,242.45,5.71,0,2,19.68,1.36,1.19,0.08,0.14,
MOL001393,myristic acid,228.42,5.46,1,2,21.18,1.07,0.99,0.07,0.19,
MOL001394,Oktadekan,254.56,8.58,0,0,9.81,1.83,1.83,0.09,0.14,
MOL001396,PENTADECYLIC ACID,242.45,5.91,1,2,20.18,1.08,0.88,0.08,0.18,
MOL001417,OCTENAL,126.22,2.74,0,1,19.41,1.34,1.59,0.01,0.28,
MOL001600,copaene,204.39,4.17,0,0,29.47,1.81,2.04,0.12,0.22,
MOL001487,FITONE,268.54,6.20,0,1,6.67,1.50,1.44,0.10,0.22,
MOL001619,UPL,268.59,9.04,0,0,8.52,1.83,1.70,0.11,0.16,
MOL001645,Linoleyl acetate,308.56,6.85,0,2,42.10,1.36,1.08,0.20,0.21,7.48
MOL000169,alpha-Guaiene,204.39,4.99,0,0,25.93,1.81,2.09,0.07,0.26,
MOL001731,Dextrin Corn,180.18,-2.51,5,6,50.38,-1.93,-4.47,0.04,0.27,11.12
MOL001789,isoliquiritigenin,256.27,2.90,3,4,85.32,0.44,-0.41,0.15,0.46,17.66
MOL000018,(+/-)-Isoborneol,154.28,1.98,1,1,86.98,1.27,1.60,0.05,0.00,11.36
MOL001817,Methyl stearate,298.57,7.53,0,2,16.80,1.41,1.29,0.16,0.16,
MOL001819,METHYL PENTADECANOATE,256.48,6.16,0,2,18.82,1.37,1.28,0.10,0.17,
MOL000019,D-Camphene,136.26,2.93,0,0,34.98,1.81,2.19,0.04,0.00,11.29
MOL000193,(Z)-caryophyllene,204.39,4.75,0,0,30.29,1.82,2.15,0.09,0.28,8.00
MOL000196,L-Bornyl acetate,196.32,2.35,0,2,65.52,1.29,1.59,0.08,0.23,6.94
MOL000197,Myrcene,136.26,3.69,0,0,24.96,1.84,1.98,0.02,0.37,
MOL001972,Pulegone,152.26,2.75,0,1,51.60,1.39,1.74,0.03,0.26,11.19
MOL000198,(R)-linalool,154.28,2.74,1,1,39.80,1.33,1.36,0.02,0.32,6.48
MOL001999,scoparone,206.21,1.87,0,4,74.75,0.85,0.46,0.09,0.23,0.73
MOL002002,cis-Carveol,152.26,2.40,1,1,45.61,1.39,1.62,0.03,0.27,11.73
MOL000201,p-Ocimene,136.26,3.63,0,0,15.06,1.85,1.99,0.02,0.39,
MOL002029,()-Cuparene,202.37,4.72,0,0,38.26,1.88,2.15,0.07,0.30,-2.24
MOL002042,thymol,150.24,3.24,1,1,41.47,1.60,1.68,0.03,0.33,11.33
MOL002046,hexanoic acid,116.18,1.81,1,2,73.08,0.80,0.93,0.01,0.27,10.81
MOL000207,Methyleugenol,178.25,2.81,0,2,73.36,1.47,1.41,0.04,0.27,2.92
MOL002085,alpha-Cubebene,204.39,4.17,0,0,16.73,1.83,2.10,0.11,0.25,
MOL002095,DEP,222.26,2.24,0,4,52.19,0.72,0.57,0.07,0.38,5.37
MOL002107,Valerophenone,162.25,3.15,0,1,42.58,1.46,1.53,0.03,0.35,19.74
MOL002111,BdPh,188.24,3.00,0,2,42.44,1.32,1.27,0.07,0.39,5.64
MOL002116,"(1R,4S,5R)-4-isopropenyl-1,8-dimethylspiro[4.5]dec-8-ene",204.39,4.75,0,0,40.01,1.85,2.11,0.07,0.29,-0.49
MOL002138,p-Cymen-8-ol,150.24,2.29,1,1,32.26,1.33,1.35,0.03,0.35,11.04
MOL002187,Amylbenzene,148.27,4.14,0,0,34.34,1.88,2.03,0.03,0.31,6.28
MOL002201,cis-ligustilide,190.26,2.94,0,2,51.30,1.30,1.24,0.07,0.34,5.53
MOL000023,Hemo-sol,136.26,3.50,0,0,39.84,1.83,2.12,0.02,0.00,11.68
MOL002307,20-Hexadecanoylingenol,586.94,7.38,3,6,28.20,0.30,-0.04,0.68,0.24,
MOL000233,delta-Terpineol,154.28,2.47,1,1,55.11,1.28,1.44,0.03,0.28,10.97
MOL002335,beta-Gurjunene,204.39,4.22,0,0,51.36,1.81,2.07,0.10,0.26,12.07
MOL000234,L-Limonen,136.26,3.50,0,0,38.09,1.83,2.13,0.02,0.29,11.64
MOL002365,(s)-carvone,150.24,2.36,0,1,47.43,1.34,1.62,0.03,0.33,11.80
MOL002375,(-)-isomenthone,154.28,2.60,0,1,61.19,1.36,1.78,0.03,0.24,10.86
MOL002378,UND,156.35,5.39,0,0,17.15,1.79,2.02,0.02,0.18,
MOL002379,PTL,86.15,1.40,0,1,59.53,1.21,1.52,0.00,0.00,11.32
MOL000244,()-Borneol,154.28,1.98,1,1,81.80,1.22,1.47,0.05,0.24,11.36
MOL000247,"(Z,Z)-farnesol",222.41,4.76,1,1,41.14,1.25,1.15,0.06,0.28,6.29
MOL000254,eugenol,164.22,2.55,1,2,56.24,1.35,1.32,0.04,0.32,0.92
MOL002579,capsaicin,305.46,3.89,2,4,10.31,0.93,0.43,0.20,0.24,
MOL000259,o-Thymol,150.24,3.24,1,1,43.28,1.58,1.71,0.03,0.33,11.29
MOL000027,alpha-Curcumene,202.37,5.34,0,0,4.68,1.93,1.99,0.06,0.00,
MOL000270,CHEBI:7,136.26,2.87,0,0,45.20,1.84,2.15,0.04,0.27,11.44
MOL002702,Nonacosanol,424.89,12.38,1,1,10.57,1.48,0.70,0.43,0.15,
MOL000271,l-carvone,150.24,2.36,0,1,49.47,1.35,1.65,0.03,0.33,11.75
MOL002776,Baicalin,446.39,0.64,6,11,40.12,-0.85,-1.74,0.75,0.36,17.36
MOL002786,Apocynin,166.19,1.29,1,3,31.71,0.74,0.52,0.04,0.33,24.75
MOL002830,PCR,108.15,2.05,1,1,51.99,1.56,1.88,0.01,0.41,11.87
MOL002885,WLN: QV4,102.15,1.35,1,2,70.74,0.78,1.09,0.01,0.28,11.30
MOL000029,beta-Humulene,204.39,5.09,0,0,26.87,1.82,2.01,0.06,0.00,
MOL002936,"5,8-Dihydroxy-6,7-dimethoxyflavone",314.31,2.57,2,6,5.74,0.97,0.09,0.29,0.28,
MOL002972,"(4S)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene",204.39,5.33,0,0,20.30,1.89,1.99,0.06,0.28,
MOL002983,Guasol,124.15,1.55,1,2,51.60,1.28,1.48,0.02,0.32,11.92
MOL002998,IPH,94.12,1.56,1,1,36.05,1.50,1.86,0.01,0.44,12.07
MOL000302,Undekansaeure,186.33,4.09,1,2,30.14,0.98,0.94,0.03,0.00,4.93
MOL000303,caprylic acid,144.24,2.72,1,2,16.40,0.90,1.02,0.02,0.00,
MOL003040,Amylol,88.17,1.43,1,1,76.16,1.02,1.14,0.00,0.20,11.03
MOL000305,lauric acid,200.36,4.54,1,2,23.59,1.02,1.10,0.04,0.00,
MOL003050,nonanoic acid,158.27,3.17,1,2,40.51,0.92,1.08,0.02,0.23,4.15
MOL000032,beta-Eudesmol,222.41,3.72,1,1,26.09,1.32,1.38,0.10,0.00,
MOL000449,Stigmasterol,412.77,7.64,1,1,43.83,1.44,1.00,0.76,0.22,5.57
MOL003367,Myricadiol,442.80,6.21,2,2,13.58,0.78,0.17,0.77,0.23,
MOL003493,naphthalene,128.18,2.74,0,0,27.55,1.87,1.92,0.03,0.49,
MOL003507,Heptanol,116.23,2.34,1,1,17.22,1.10,1.11,0.01,0.18,
MOL003509,Nonanol,144.29,3.25,1,1,33.19,1.17,1.15,0.01,0.18,6.07
MOL007260,Isorhamnetin-3-mono-beta-D-glucoside,478.44,-0.34,7,12,4.11,-1.35,-2.07,0.80,0.34,
MOL000354,isorhamnetin,316.28,1.76,4,7,49.60,0.31,-0.54,0.31,0.32,14.34
MOL003573,calacorene,200.35,4.79,0,0,16.20,1.89,1.99,0.08,0.00,
MOL003587,Acoradiene,204.39,4.75,0,0,36.73,1.85,2.11,0.07,0.28,-0.84
MOL003590,angelicin,186.17,2.20,0,3,19.60,1.05,0.86,0.10,0.26,
